ticker,security,sector,subindustry,registered,founded
MMM,3M,Industrials,Industrial Conglomerates,1976-08-09,1902
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,1916
ABT,Abbott,Health Care,Health Care Equipment,1964-03-31,1888
ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,2013 (1888)
ABMD,Abiomed,Health Care,Health Care Equipment,2018-05-31,1981
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,2008
ADM,ADM,Consumer Staples,Agricultural Products,1981-07-29,1902
ADBE,Adobe,Information Technology,Application Software,1997-05-05,1982
ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981-03-31,1949
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1932
AES,AES,Utilities,Independent Power Producers & Energy Traders,1998-10-02,1981
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,1955
A,Agilent Technologies,Health Care,Health Care Equipment,2000-06-05,1999
AIG,AIG,Financials,Property & Casualty Insurance,1980-03-31,1919
APD,Air Products,Materials,Industrial Gases,1985-04-30,1940
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12,1998
ALK,Alaska Air Group,Industrials,Airlines,2016-05-13,1985
ALB,Albemarle,Materials,Specialty Chemicals,2016-07-01,1994
ARE,Alexandria,Real Estate,Office REITs,2017-03-20,1994
ALGN,Align,Health Care,Health Care Supplies,2017-06-19,1997
ALLE,Allegion,Industrials,Building Products,2013-12-02,1908
LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,1917
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,1931
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,2014-04-03,1998
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,2006-04-03,1998
MO,Altria,Consumer Staples,Tobacco,1957-03-04,1985
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1994
AMCR,Amcor,Materials,Paper Packaging,2019-06-07,2019 (1860)
AMD,AMD,Information Technology,Semiconductors,,1969
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,1902
AAL,American Airlines Group,Industrials,Airlines,2015-03-23,1934
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,1906
AXP,American Express,Financials,Consumer Finance,1976-06-30,1850
AMT,American Tower,Real Estate,Specialized REITs,2007-11-19,1995
AWK,American Water,Utilities,Water Utilities,2016-03-04,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,1894
ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001-08-30,1985
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1930
AMGN,Amgen,Health Care,Biotechnology,1992-01-02,1980
APH,Amphenol,Information Technology,Electronic Components,2008-09-30,1932
ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,1965
ANSS,Ansys,Information Technology,Application Software,2017-06-19,1969
ANTM,Anthem,Health Care,Managed Health Care,2002-07-25,2014 (1946)
AON,Aon,Financials,Insurance Brokers,1996-04-23,1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,1954
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1995-03-16,1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,1994
ANET,Arista,Information Technology,Communications Equipment,2018-08-28,2004
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,1892
T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04),1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,1906
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997-01-02,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10,1978
AVY,Avery Dennison,Materials,Paper Packaging,1987-12-31,1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,2017
BLL,Ball,Materials,Metal & Glass Containers,1984-10-31,1880
BAC,Bank of America,Financials,Diversified Banks,1976-06-30,1998 (1923 / 1874)
BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,1983-09-30,1963
BAX,Baxter,Health Care,Health Care Equipment,1972-09-30,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,1897
WRB,Berkley,Financials,Property & Casualty Insurance,2019-12-05,1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22,1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,1976
BIIB,Biogen,Health Care,Biotechnology,2003-11-13,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,1784
BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,1880
BXP,Boston Properties,Real Estate,Office REITs,2006-04-03,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,1979
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1957-03-04,1989
AVGO,Broadcom,Information Technology,Semiconductors,2014-05-08,1961
BR,Broadridge,Information Technology,Data Processing & Outsourced Services,2018-06-18,1962
BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,1870
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,1905
CDNS,Cadence,Information Technology,Application Software,2017-09-18,1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,1973
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats,1957-03-04,1869
COF,Capital One,Financials,Consumer Finance,1998-07-01,1994
CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,1971
KMX,CarMax,Consumer Discretionary,Specialty Stores,2010-06-28,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,1972
CARR,Carrier,Industrials,Building Products,2020-04-03,2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,2007
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,1925
CBOE,Cboe,Financials,Financial Exchanges & Data,2017-03-01,1973
CBRE,CBRE,Real Estate,Real Estate Services,2006-11-10,1906
CDW,CDW,Information Technology,Technology Distributors,2019-09-23,1984
CE,Celanese,Materials,Specialty Chemicals,2018-12-24,1918
CNC,Centene,Health Care,Managed Health Care,2016-03-30,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,1882
CDAY,Ceridian,Information Technology,Application Software,2021-09-20,1992
CERN,Cerner,Health Care,Health Care Technology,2010-04-30,1979
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,1946
CRL,Charles River,Health Care,Life Sciences Tools & Services,2021-05-14,1947
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,1997-06-02,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,1993
CVX,Chevron,Energy,Integrated Oil & Gas,1957-03-04,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,1993
CB,Chubb,Financials,Property & Casualty Insurance,2010-07-15,1985
CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,1847
CI,Cigna,Health Care,Managed Health Care,1976-06-30,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,1950
CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,1929
CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,1984
C,Citigroup,Financials,Diversified Banks,1988-05-31,1998
CFG,Citizens,Financials,Regional Banks,2016-01-29,1828
CTXS,Citrix,Information Technology,Application Software,1999-12-01,1989
CLX,Clorox,Consumer Staples,Household Products,1969-03-31,1913
CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,1848
CMS,CMS Energy,Utilities,Multi-Utilities,1999-05-03,1886
KO,Coca-Cola,Consumer Staples,Soft Drinks,1957-03-04,1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,1806
CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,1963
CMA,Comerica,Financials,Diversified Banks,1995-12-01,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,2002
ED,Con Edison,Utilities,Electric Utilities,,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,1945
CEG,Constellation Energy,Utilities,Multi-Utilities,2022-02-02,1999
COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,1958
CPRT,Copart,Industrials,Diversified Support Services,2018-07-02,1982
GLW,Corning,Information Technology,Electronic Components,,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,2019-06-03,2019
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,2008-06-23,2021 (1989)
CCI,Crown Castle,Real Estate,Specialized REITs,2012-03-14,1994
CSX,CSX,Industrials,Railroads,1967-09-30,1980
CMI,Cummins,Industrials,Industrial Machinery,1965-03-31,1919
CVS,CVS Health,Health Care,Health Care Services,1957-03-04,1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,2005-06-22,1978
DHR,Danaher,Health Care,Health Care Equipment,,1969
DRI,Darden,Consumer Discretionary,Restaurants,,1938
DVA,DaVita,Health Care,Health Care Facilities,2008-07-31,1979
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1957-03-04,1837
DAL,Delta Air Lines,Industrials,Airlines,2013-09-11,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,2016 (1969)
DVN,Devon,Energy,Oil & Gas Exploration & Production,2000-08-30,1971
DXCM,DexCom,Health Care,Health Care Equipment,2020-05-12,1999
FANG,Diamondback,Energy,Oil & Gas Exploration & Production,2018-12-03,2007
DLR,Digital Realty,Real Estate,Specialized REITs,2016-05-18,2004
DFS,Discover,Financials,Consumer Finance,2007-07-02,1985
DISCA,Discovery (Series A),Communication Services,Broadcasting,2010-03-01,1985
DISCK,Discovery (Series C),Communication Services,Broadcasting,2014-08-07,1985
DISH,Dish,Communication Services,Cable & Satellite,2017-03-13,1980
DIS,Disney,Communication Services,Movies & Entertainment,1976-06-30,1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,2012-12-03,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2011-12-19,1986
D,Dominion Energy,Utilities,Electric Utilities,,1983
DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,1960
DOV,Dover,Industrials,Industrial Machinery,1985-10-31,1955
DOW,Dow,Materials,Commodity Chemicals,2019-04-01,2019
DTE,DTE,Utilities,Multi-Utilities,1957-03-04,1995
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,1904
DRE,Duke Realty,Real Estate,Industrial REITs,2017-07-26,1972
DD,DuPont,Materials,Specialty Chemicals,2019-04-02,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04,2017
EMN,Eastman,Materials,Diversified Chemicals,1994-01-01,1920
ETN,Eaton,Industrials,Electrical Components & Equipment,,1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,1995
ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,1923
EIX,Edison International,Utilities,Electric Utilities,1957-03-04,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,1982
EMR,Emerson,Industrials,Electrical Components & Equipment,1965-03-31,1890
ENPH,Enphase,Information Technology,Electronic Components,2021-01-07,2006
ETR,Entergy,Utilities,Electric Utilities,1957-03-04,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,1999
EPAM,EPAM,Information Technology,IT Consulting & Other Services,2021-12-14,1993
EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,1899
EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20,1998
EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03,1969
ESS,Essex,Real Estate,Residential REITs,2014-04-02,1971
EL,Estée Lauder Companies,Consumer Staples,Personal Products,2006-01-05,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,2005
RE,Everest,Financials,Reinsurance,2017-06-19,1973
EVRG,Evergy,Utilities,Electric Utilities,2018-06-05,1909
ES,Eversource,Utilities,Multi-Utilities,,1966
EXC,Exelon,Utilities,Multi-Utilities,1957-03-04,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,1996
EXPD,Expeditors,Industrials,Air Freight & Logistics,2007-10-10,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19,1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04,1999
FFIV,F5,Information Technology,Communications Equipment,2010-12-20,1996
FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20,1978
FAST,Fastenal,Industrials,Building Products,2008-09-15,1967
FRT,Federal Realty,Real Estate,Retail REITs,2016-02-01,1962
FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31,1971
FITB,Fifth Third Bank,Financials,Regional Banks,,1858
FRC,First Republic,Financials,Regional Banks,2019-01-02,1985
FE,FirstEnergy,Utilities,Electric Utilities,,1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,2006-11-10,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,2001-04-02,1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,2018-06-20,2000
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals,2009-08-19,1883
F,Ford,Consumer Discretionary,Automobile Manufacturers,1957-03-04,1903
FTNT,Fortinet,Information Technology,Systems Software,2018-10-11,2000
FTV,Fortive,Industrials,Industrial Machinery,2016-07-01,2016
FBHS,Fortune Brands,Industrials,Building Products,2016-06-22,2011 (1969)
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2013-07-01,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2015-09-18,2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,,1947
FCX,Freeport-McMoRan,Materials,Copper,,1912
AJG,Gallagher,Financials,Insurance Brokers,2016-05-31,1927
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,2012-12-12,1989
IT,Gartner,Information Technology,IT Consulting & Other Services,2017-04-05,1979
GE,GE,Industrials,Industrial Conglomerates,,1892
GNRC,Generac,Industrials,Electrical Components & Equipment,2021-03-22,1959
GD,General Dynamics,Industrials,Aerospace & Defense,1957-03-04,1899
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31,1856
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31,1925
GILD,Gilead,Health Care,Biotechnology,2004-07-01,1987
GL,Globe Life,Financials,Life & Health Insurance,1989-04-30,1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,2016-04-25,2000
GM,GM,Consumer Discretionary,Automobile Manufacturers,2013-06-06,1908
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,2002-07-22,1869
GWW,Grainger,Industrials,Industrial Machinery,1981-06-30,1927
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1957-03-04,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,1957-03-04,1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,1984-09-30,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,1968
PEAK,Healthpeak,Real Estate,Health Care REITs,2008-03-31,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957-03-04,1894
HES,Hess,Energy,Integrated Oil & Gas,1984-05-31,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,2015
HLT,Hilton,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,1919
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,1985
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,1978
HON,Honeywell,Industrials,Industrial Conglomerates,1964-03-31,1906
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,2009-03-04,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31,2016
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,1939 (2015)
HUM,Humana,Health Care,Managed Health Care,,1961
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,2011
HBAN,Huntington National Bank,Financials,Regional Banks,,1866
IEX,IDEX,Industrials,Industrial Machinery,2019-08-09,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,1983
INFO,IHS Markit,Industrials,Research & Consulting Services,2017-06-02,1959
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,1998
INCY,Incyte,Health Care,Biotechnology,2017-02-28,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020-03-03,1859
INTC,Intel,Information Technology,Semiconductors,1976-12-31,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,2000
